Name,Metro/Rural,Metro Pole,Total Population,Commuter %,Total Commuters,Solo Commuter %,Solo Commuters,Carpooler %,Carpoolers,Public Transit %,Public Transit,Walking %,Walking,Other Transit %,Other Transit,Latitude,Longitude
"Adair County, Missouri",Rural,,25547.0,42.46682585039339,10849.0,77.942667526961,8456.0,11.38353765323993,1235.0,0.04608719697667988,5.0,4.479675546133284,486.0,2.608535348880081,283.0,40.199365500000006,-92.539603
"Andrew County, Missouri",Rural,,17347.0,48.40606444918429,8397.0,87.55507919495058,7352.0,6.752411575562703,567.0,0.059545075622246035,5.0,1.083720376324878,91.0,0.5597237108491128,47.0,39.9637436,-94.8105955
"Atchison County, Missouri",Rural,,5380.0,48.27137546468401,2597.0,82.86484405082787,2152.0,9.08740854832499,236.0,0.15402387370042356,4.0,3.2730073161340014,85.0,0.5775895263765883,15.0,40.423896000000006,-95.4777811
"Audrain County, Missouri",Rural,,25868.0,40.915416731096336,10584.0,79.96976568405141,8464.0,10.393046107331822,1100.0,0.3401360544217687,36.0,3.3541194255479967,355.0,2.5982615268329554,275.0,39.221953000000006,-91.9099238
"Barry County, Missouri",Rural,,35716.0,38.876133945570615,13885.0,78.81166726683472,10943.0,12.466690673388548,1731.0,0.3168887288440764,44.0,2.211019085343896,307.0,1.0947065178249908,152.0,36.6345264,-93.82482409999999
"Barton County, Missouri",Rural,,12075.0,41.09316770186335,4962.0,79.54453849254331,3947.0,8.86739218057235,440.0,0.38291011688835147,19.0,3.7686416767432487,187.0,0.9068923821039904,45.0,37.4748791,-94.315422
"Bates County, Missouri",Metro,Kansas City,16513.0,43.135711257796885,7123.0,74.40685104590762,5300.0,13.014179418784218,927.0,0.6598343394637091,47.0,3.6922644952969255,263.0,0.954653937947494,68.0,38.3216754,-94.315422
"Benton County, Missouri",Rural,,18825.0,31.71845949535193,5971.0,78.04387874727851,4660.0,12.276000669904539,733.0,0.6531569251381678,39.0,1.5240328253223916,91.0,1.105342488695361,66.0,38.3534598,-93.3388917
"Bollinger County, Missouri",Rural,,12282.0,37.9254193128155,4658.0,75.762129669386,3529.0,18.4628595963933,860.0,0.3864319450407901,18.0,2.3400601116358954,109.0,0.279089738085015,13.0,37.2115595,-90.0746767
"Boone County, Missouri",Rural,,172773.0,51.56650634068981,89093.0,78.99049308026443,70375.0,10.178128472495034,9068.0,0.9585489320148608,854.0,4.014905772619622,3577.0,2.0574006936571894,1833.0,39.046854700000004,-92.3813621
"Buchanan County, Missouri",Rural,,89415.0,46.17010568696527,41283.0,82.68294455344815,34134.0,11.384831528716422,4700.0,0.826005861977085,341.0,1.6956132064045732,700.0,1.27170990480343,525.0,39.6349791,-94.8105955
"Butler County, Missouri",Rural,,42887.0,39.356914682771006,16879.0,83.0973398898039,14026.0,9.28372533917886,1567.0,0.4324900764263286,73.0,2.251318206054861,380.0,2.162450382131643,365.0,36.695134100000004,-90.3748354
